資料,月,版本,TPASS人次,TPASS使用比例%,總使用次數,使用人數,使用人合計日數,天數,平均每日使用次數,單日平均使用次數,全部_僅一次,全部_二至四次,全部_五次以上,全部_僅一次%,全部_五次以上%,TPASS_僅一次,TPASS_二至四次,TPASS_五次以上,TPASS_僅一次%,TPASS_五次以上%
花蓮公路,114/03,去重,6670,20.68,32250,9078,22904,31,0.115,1.41,4467,3226,1385,49.2,15.3,189,207,321,26.4,44.8
花蓮公路,114/03,原,6670,20.68,32250,9078,22904,31,0.115,1.41,4467,3226,1385,49.2,15.3,189,207,321,26.4,44.8
花蓮公路,114/04,去重,6309,19.35,32598,9880,23251,30,0.11,1.4,4967,3575,1338,50.3,13.5,195,219,313,26.8,43.1
花蓮公路,114/04,原,6309,19.35,32599,9880,23251,30,0.11,1.4,4967,3575,1338,50.3,13.5,195,219,313,26.8,43.1
花蓮公路,114/05,去重,6596,20.61,32009,9200,22752,31,0.112,1.41,4758,3117,1325,51.7,14.4,188,212,322,26,44.6
花蓮公路,114/05,原,6596,20.61,32009,9200,22752,31,0.112,1.41,4758,3117,1325,51.7,14.4,188,212,322,26,44.6
花蓮公路,114/06,去重,5807,19.35,30016,8872,21099,30,0.113,1.42,4466,3166,1240,50.3,14,216,250,272,29.3,36.9
花蓮公路,114/06,原,5807,19.35,30017,8872,21099,30,0.113,1.42,4466,3166,1240,50.3,14,216,250,272,29.3,36.9
花蓮公路,114/07,去重,4546,15.87,28639,9366,20597,31,0.099,1.39,4805,3412,1149,51.3,12.3,189,226,258,28.1,38.3
花蓮公路,114/07,原,4546,15.87,28640,9366,20597,31,0.099,1.39,4805,3412,1149,51.3,12.3,189,226,258,28.1,38.3
花蓮公路,114/08,去重,3857,13.05,29551,10285,21121,31,0.093,1.4,5181,3944,1160,50.4,11.3,248,224,223,35.7,32.1
花蓮公路,114/08,原,3857,13.05,29551,10285,21121,31,0.093,1.4,5181,3944,1160,50.4,11.3,248,224,223,35.7,32.1
花蓮公路,114/09,去重,6524,20.92,31189,8768,22028,30,0.119,1.42,4193,3240,1335,47.8,15.2,185,219,348,24.6,46.3
花蓮公路,114/09,原,6525,20.92,31191,8768,22028,30,0.119,1.42,4193,3240,1335,47.8,15.2,185,219,348,24.6,46.3
花蓮公路,114/10,去重,6656,20.7,32151,9465,23239,31,0.11,1.38,4828,3303,1334,51,14.1,236,237,327,29.5,40.9
花蓮公路,114/10,原,6656,20.7,32153,9465,23239,31,0.11,1.38,4828,3302,1335,51,14.1,236,237,327,29.5,40.9
花蓮公路,114/11,去重,5944,22.37,26571,7532,18828,30,0.118,1.41,3679,2690,1163,48.8,15.4,172,174,329,25.5,48.7
花蓮公路,114/11,原,5944,22.37,26571,7532,18828,30,0.118,1.41,3679,2690,1163,48.8,15.4,172,174,329,25.5,48.7
花蓮公路,114/12,去重,7096,22.27,31861,8985,23081,31,0.114,1.38,4412,3229,1344,49.1,15,267,240,349,31.2,40.8
花蓮公路,114/12,原,7096,22.27,31861,8985,23081,31,0.114,1.38,4412,3229,1344,49.1,15,267,240,349,31.2,40.8
花蓮公路,115/01,去重,5767,20.9,27594,8159,19952,31,0.109,1.38,4095,2847,1217,50.2,14.9,236,251,307,29.7,38.7
花蓮公路,115/01,原,5767,20.9,27594,8159,19952,31,0.109,1.38,4095,2847,1217,50.2,14.9,236,251,307,29.7,38.7
花蓮公路,115/02,去重,3223,13.35,24146,9651,18007,28,0.089,1.34,5261,3473,917,54.5,9.5,238,307,199,32,26.7
花蓮公路,115/02,原,3223,13.35,24146,9651,18007,28,0.089,1.34,5261,3473,917,54.5,9.5,238,307,199,32,26.7
花蓮公路,115/03,去重,7593,22.26,34104,9042,22440,31,0.122,1.52,4501,3150,1391,49.8,15.4,226,224,346,28.4,43.5
花蓮公路,115/03,原,7593,22.26,34104,9042,22440,31,0.122,1.52,4501,3150,1391,49.8,15.4,226,224,346,28.4,43.5
花蓮公路,115/04,去重,7084,20.65,34305,10003,23179,30,0.114,1.48,5100,3551,1352,51,13.5,255,257,354,29.4,40.9
花蓮公路,115/04,原,7084,20.65,34305,10003,23179,30,0.114,1.48,5100,3551,1352,51,13.5,255,257,354,29.4,40.9
花蓮公路,115/05,去重,6959,20.99,33146,9674,22114,31,0.111,1.5,4972,3366,1336,51.4,13.8,245,269,338,28.8,39.7
花蓮公路,115/05,原,6959,20.99,33146,9674,22114,31,0.111,1.5,4972,3366,1336,51.4,13.8,245,269,338,28.8,39.7
花蓮公路,115/06,去重,5847,19.97,29272,8978,21165,30,0.109,1.38,4564,3165,1249,50.8,13.9,265,264,310,31.6,36.9
花蓮公路,115/06,原,5847,19.97,29272,8978,21165,30,0.109,1.38,4564,3165,1249,50.8,13.9,265,264,310,31.6,36.9
臺東公路,113/06,去重,19238,27.18,70793,15333,42725,30,0.154,1.66,5458,6265,3610,35.6,23.5,103,335,942,7.5,68.3
臺東公路,113/06,原,19238,27.18,70793,15333,42725,30,0.154,1.66,5458,6265,3610,35.6,23.5,103,335,942,7.5,68.3
臺東公路,113/07,去重,12839,20.63,62229,15364,36607,31,0.131,1.7,5761,6224,3379,37.5,22,119,383,726,9.7,59.1
臺東公路,113/07,原,12839,20.63,62229,15364,36607,31,0.131,1.7,5761,6224,3379,37.5,22,119,383,726,9.7,59.1
臺東公路,113/08,去重,14146,19.19,73732,17633,41360,31,0.135,1.78,6667,6612,4354,37.8,24.7,212,436,763,15,54.1
臺東公路,113/08,原,14146,19.19,73732,17633,41360,31,0.135,1.78,6667,6612,4354,37.8,24.7,212,436,763,15,54.1
臺東公路,113/09,去重,27619,31.55,87532,16652,50554,30,0.175,1.73,5364,6422,4866,32.2,29.2,146,363,1282,8.2,71.6
臺東公路,113/09,原,27619,31.55,87532,16652,50554,30,0.175,1.73,5364,6422,4866,32.2,29.2,146,363,1282,8.2,71.6
臺東公路,113/10,去重,25893,32.83,78878,16054,47310,31,0.158,1.67,5260,6642,4152,32.8,25.9,147,380,1256,8.2,70.4
臺東公路,113/10,原,25893,32.83,78878,16054,47310,31,0.158,1.67,5260,6642,4152,32.8,25.9,147,380,1256,8.2,70.4
臺東公路,113/11,去重,29542,31.83,92804,19244,55172,30,0.161,1.68,6543,7926,4775,34,24.8,148,404,1335,7.8,70.7
臺東公路,113/11,原,29542,31.83,92804,19244,55172,30,0.161,1.68,6543,7926,4775,34,24.8,148,404,1335,7.8,70.7
臺東公路,113/12,去重,32509,34.52,94174,17955,56090,31,0.169,1.68,6108,7207,4640,34,25.8,131,375,1393,6.9,73.4
臺東公路,113/12,原,32509,34.52,94174,17955,56090,31,0.169,1.68,6108,7207,4640,34,25.8,131,375,1393,6.9,73.4
