資料,卡號,票種次類型,路線,上車站,上車時間,下車站,下車時間,旗標,重複列
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-17 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-18 06:00:00,台東火車站,2025-09-18 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-18 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-18 17:00:00,台東火車站,2025-09-18 17:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-18 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-19 06:00:00,台東火車站,2025-09-19 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-19 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-19 17:00:00,拖吊場,2025-09-19 18:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-19 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-30 06:00:00,台東火車站,2025-09-30 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-30 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-30 16:00:00,台東火車站,2025-09-30 17:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-30 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
花蓮市區,a53edfdb,#HUA-199,301,明義國小,2025-09-01 09:00:00,圖書館資訊大樓,2025-09-01 10:00:00,0,FALSE
花蓮市區,a53edfdb,#HUA-199,301,明義國小,2025-09-01 09:00:00,-99,1970-01-01 00:00:00,1,TRUE
花蓮市區,a53edfdb,#HUA-199,301,圖書館資訊大樓,2025-09-01 17:00:00,明義國小,2025-09-01 17:00:00,0,FALSE
花蓮市區,f0303330,#HUA-199,301,遠東百貨,2025-09-01 16:00:00,東華大學,2025-09-01 17:00:00,0,FALSE
花蓮市區,f0303330,#HUA-199,301,遠東百貨,2025-09-01 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
