上車站牌名稱,下車站牌名稱,票證數,上序,下序,現行_公里,鏡像_公里
重安,三仙台遊憩區,11,112,118,2.16,7.8
仁里橋,豐濱監工站,11,9,59,42.44,47.64
海岸南海十一街口,大港口,11,17,74,49.5,61.22
仁里橋,靜浦國小,11,9,77,59.27,66.69
仁里橋,三仙台遊憩區,11,9,118,102.7,102.7
海岸南海八街口,三仙台遊憩區,11,16,118,94.72,99.72
吉安分局,靜浦,11,10,79,58.99,67.36
帝君廟,中福站,11,2,7,5.74,2.42
花蓮文創園區(中正),北回歸線,11,6,80,66.51,69.46
中華紙漿廠(海岸路),三仙台遊憩區,11,18,118,92.3,97.99
中福站,大石鼻山步道,11,7,43,35.62,38.36
恩主公廟,豐濱,11,57,60,3.76,1.86
海岸南海四街口,獅子山,11,15,73,49.58,62.35
明禮國小,中正國小,11,4,8,3.19,1.97
深橋,豐濱,11,56,60,4.69,2.16
豐濱監工站,港口,11,59,72,14.2,16.49
中華路,磯崎海水浴場,11,5,42,36.9,38.85
北回歸線,真柄,11,80,92,15.16,8.71
長光,竹湖國小,11,94,101,11.37,4.98
豐濱,立德,11,60,62,5.82,1.41
重安,白守蓮,11,112,117,1.84,5.73
仁里橋,石梯坪遊憩區,11,9,68,55.06,60.27
帝君廟,靜埔B,11,2,82,72.54,72.53
北回歸線,長濱鄉公所,11,85,103,25.87,16.28
北樟原,長濱,11,89,100,16.68,11.94
港口,城子埔,11,76,98,26.41,18.07
花蓮轉運站,南永福,10,1,100,101.47,90.33
靜浦教會,長濱,10,78,95,18.52,14.59
中華路,八仙洞,10,5,87,74.22,73.2
海岸南海十一街口,靜浦,10,17,79,52.61,63.99
仁里橋,獅子山,10,9,73,57.39,64.51
中正國小,靜浦,10,8,79,62.82,68.09
帝君廟,靜浦,10,2,79,69.52,70.94
海岸南海二街口,立德,10,14,62,42.4,48.03
靜浦教會,三仙台遊憩區,10,78,118,42.49,35.59
靜浦,真柄,10,79,92,16.73,9.31
吉安分局,和南寺,10,10,26,14.2,12.62
北回歸線,城子埔,10,80,93,15.56,10.7
長光,寧埔社區,10,94,107,17.23,9.47
海岸東海十五街口,豐濱,10,12,60,39.05,47.43
三富橋,長光,10,81,94,15.19,12.48
花蓮文創園區(中正),新社,10,6,48,38.9,42.82
長濱分駐所,竹湖國小,10,96,101,6.24,3.51
北回歸線,白守蓮,10,80,117,39.74,32.35
中華路,長濱,10,5,95,83.41,83.37
海洋公園,鹽寮,10,23,27,1.94,3.83
海洋公園,南福德,10,23,25,1.62,2.6
明禮國小,中華路,10,4,5,0.27,0.72
帝君廟,南埔加油站,10,2,11,11.98,3.88
高山,親不知子海上古道,10,45,46,0.31,0.87
吉安分局,海岸南海十一街口,10,10,17,6.38,3.36
石梯坪遊憩區,港口,10,72,76,2.2,1.96
豐濱監工站,大港口,10,59,74,15.52,17.26
海岸南海四街口,成功,10,15,126,98.96,112.94
長光,成功,10,99,126,19,30.35
帝君廟,鹽寮,10,2,27,24.89,16.88
永豐橋,豐濱,10,58,64,10.2,3.77
仁里橋,鹽寮,9,9,27,16.43,13.62
獅子山,大港口,9,73,74,0.57,0.39
北東興,北回歸線,9,52,80,25.22,24.15
北東興,靜浦,9,52,79,23.65,23.55
花蓮文創園區(中正),新莊,9,6,51,40.49,45.05
靜浦,竹湖國小,9,79,101,28.69,18.75
奚卜蘭遊客中心,長濱,9,76,95,19.9,15.62
帝君廟,豐濱監工站,9,2,59,50.89,50.9
明禮國小,靜浦教會,9,4,78,65.16,69.5
花蓮文創園區(中正),北福德,9,6,24,19.81,12.48
南石梯坪,獅子山,9,70,73,1.24,1.61
吉安分局,新社,9,10,48,32.95,41.31
中福站,豐濱,9,7,60,46.27,49.25
海洋公園,北福德,9,23,24,1.45,1.52
北回歸線,八仙洞,9,80,87,6.9,3.25
長濱,竹湖國小,9,95,101,11.03,4.72
中福站,南埔加油站,9,7,11,6.23,1.46
北回歸線,南永福,9,80,100,26.44,17.99
中華路,海岸東海十五街口,9,5,12,9.19,2.65
中華路,大坑,9,5,22,17.84,10.72
海岸南海十一街口,豐濱,9,17,60,35.11,44.73
石梯坪遊憩區,長光,9,68,94,23.33,21.18
三富橋,長濱,9,81,95,15.52,12.74
石梯漁港,北回歸線,9,67,80,8.35,9.13
中華路,嶺頂,9,5,21,17.05,9.7
明禮國小,小港,9,4,115,106.67,100.58
北回歸線,樟原,9,80,86,3.69,3
恩主公廟,靜浦,9,57,79,21.26,21.12
中福站,水璉分隊,9,7,32,23.71,24.81
南石梯坪,靜浦,9,70,79,4.92,4.78
寧埔社區,成功,9,113,126,5.85,19.37
港口,北回歸線,9,76,85,6.7,4.4
港口,奚卜蘭遊客中心,9,76,80,3.81,2.19
花蓮轉運站,小湖,9,1,49,47.98,46.55
北東興,長濱分駐所,9,55,101,51.18,40.36
葛瑪蘭民宿,新社國小,9,46,52,3.68,4.63
南石梯坪,長虹橋,9,74,79,3.12,2.77
北石梯坪,三仙台遊憩區,8,69,118,46.95,42.13
中福站,石梯坪遊憩區,8,7,68,57.77,61.11
豐濱,長光,8,60,94,34.83,33.03
靜浦,北真柄,8,79,91,14.11,7.37
花蓮轉運站,永豐橋,8,1,54,50.58,49.37
花蓮文創園區(中正),新社梯田,8,6,47,38.3,41.25
靜浦,白守蓮,8,79,117,41.31,32.95
中福站,豐濱監工站,8,7,59,45.14,48.48
長濱分駐所,竹湖,8,96,102,6.79,3.68
寧埔社區,三仙台遊憩區,8,107,118,7.08,11.79
南埔加油站,大港口,8,11,74,54.43,64.28
南東興,靜浦,8,53,79,23.27,22.93
仁里橋,大石鼻山步道,8,9,43,32.91,37.52
中華路,北石梯坪,8,5,69,60.44,62.24
南石梯坪,大港口,8,70,74,1.8,2
靜浦,樟原,8,79,86,5.26,3.6
中華路,七七高地,8,5,20,16.47,8.75
中華路,花蓮文創園區(中正),8,5,6,0.81,0.49
花蓮轉運站,海巡防,8,1,28,30.35,19
仁里橋,和南寺,8,9,26,16.28,12.94
海洋公園,牛寮坑,8,23,38,13.88,20.51
花蓮文創園區(中正),和南寺,8,6,26,20.15,14.12
新社,豐濱監工站,8,48,59,7.41,6
仁里橋,海岸南海一街口,8,9,13,5.71,1.52
海洋公園,成功,8,23,126,92.27,105.31
